birdY,birdJump,birdVelocity,pipeY
371.20000000000005,1,-9.4,381.57571009420394
362.40000000000003,0,-8.8,381.57571009420394
354.20000000000005,0,-8.200000000000001,381.57571009420394
346.6,0,-7.600000000000001,381.57571009420394
339.6,0,-7.000000000000002,381.57571009420394
333.20000000000005,0,-6.400000000000002,381.57571009420394
327.40000000000003,0,-5.8000000000000025,381.57571009420394
322.20000000000005,0,-5.200000000000003,381.57571009420394
317.6,0,-4.600000000000003,381.57571009420394
313.6,0,-4.0000000000000036,381.57571009420394
310.20000000000005,0,-3.4000000000000035,381.57571009420394
307.40000000000003,0,-2.8000000000000034,381.57571009420394
305.20000000000005,0,-2.2000000000000033,381.57571009420394
303.6,0,-1.6000000000000032,381.57571009420394
302.6,0,-1.000000000000003,381.57571009420394
302.20000000000005,0,-0.40000000000000313,381.57571009420394
302.40000000000003,0,0.19999999999999685,381.57571009420394
303.20000000000005,0,0.7999999999999968,381.57571009420394
304.6,0,1.3999999999999968,381.57571009420394
306.6,0,1.999999999999997,381.57571009420394
309.20000000000005,0,2.599999999999997,381.57571009420394
312.40000000000003,0,3.199999999999997,381.57571009420394
316.20000000000005,0,3.799999999999997,381.57571009420394
320.6,0,4.399999999999997,381.57571009420394
325.6,0,4.9999999999999964,381.57571009420394
331.20000000000005,0,5.599999999999996,381.57571009420394
337.40000000000003,0,6.199999999999996,381.57571009420394
328.00000000000006,1,-9.4,381.57571009420394
319.20000000000005,0,-8.8,381.57571009420394
311.00000000000006,0,-8.200000000000001,381.57571009420394
303.40000000000003,0,-7.600000000000001,381.57571009420394
296.40000000000003,0,-7.000000000000002,381.57571009420394
290.00000000000006,0,-6.400000000000002,381.57571009420394
284.20000000000005,0,-5.8000000000000025,381.57571009420394
279.00000000000006,0,-5.200000000000003,381.57571009420394
274.40000000000003,0,-4.600000000000003,381.57571009420394
270.40000000000003,0,-4.0000000000000036,381.57571009420394
267.00000000000006,0,-3.4000000000000035,381.57571009420394
264.20000000000005,0,-2.8000000000000034,381.57571009420394
262.00000000000006,0,-2.2000000000000033,381.57571009420394
260.40000000000003,0,-1.6000000000000032,381.57571009420394
259.40000000000003,0,-1.000000000000003,381.57571009420394
259.00000000000006,0,-0.40000000000000313,381.57571009420394
259.20000000000005,0,0.19999999999999685,381.57571009420394
260.00000000000006,0,0.7999999999999968,381.57571009420394
261.40000000000003,0,1.3999999999999968,381.57571009420394
263.40000000000003,0,1.999999999999997,381.57571009420394
266.00000000000006,0,2.599999999999997,381.57571009420394
269.20000000000005,0,3.199999999999997,381.57571009420394
273.00000000000006,0,3.799999999999997,381.57571009420394
277.40000000000003,0,4.399999999999997,381.57571009420394
282.40000000000003,0,4.9999999999999964,381.57571009420394
288.00000000000006,0,5.599999999999996,381.57571009420394
294.20000000000005,0,6.199999999999996,381.57571009420394
301.00000000000006,0,6.799999999999995,381.57571009420394
308.40000000000003,0,7.399999999999995,381.57571009420394
316.40000000000003,0,7.999999999999995,381.57571009420394
325,0,8.599999999999994,381.57571009420394
334.2,0,9.199999999999994,381.57571009420394
344,0,9.799999999999994,381.57571009420394
334.6,1,-9.4,381.57571009420394
325.8,0,-8.8,381.57571009420394
317.6,0,-8.200000000000001,381.57571009420394
310,0,-7.600000000000001,381.57571009420394
303,0,-7.000000000000002,381.57571009420394
296.6,0,-6.400000000000002,381.57571009420394
290.8,0,-5.8000000000000025,381.57571009420394
285.6,0,-5.200000000000003,381.57571009420394
281,0,-4.600000000000003,381.57571009420394
277,0,-4.0000000000000036,381.57571009420394
273.6,0,-3.4000000000000035,381.57571009420394
270.8,0,-2.8000000000000034,381.57571009420394
268.6,0,-2.2000000000000033,381.57571009420394
267,0,-1.6000000000000032,381.57571009420394
266,0,-1.000000000000003,381.57571009420394
265.6,0,-0.40000000000000313,381.57571009420394
265.8,0,0.19999999999999685,381.57571009420394
266.6,0,0.7999999999999968,381.57571009420394
268,0,1.3999999999999968,381.57571009420394
270,0,1.999999999999997,381.57571009420394
272.6,0,2.599999999999997,381.57571009420394
275.8,0,3.199999999999997,381.57571009420394
279.6,0,3.799999999999997,381.57571009420394
284,0,4.399999999999997,381.57571009420394
289,0,4.9999999999999964,381.57571009420394
294.6,0,5.599999999999996,381.57571009420394
300.8,0,6.199999999999996,381.57571009420394
307.6,0,6.799999999999995,381.57571009420394
315,0,7.399999999999995,381.57571009420394
323,0,7.999999999999995,381.57571009420394
331.6,0,8.599999999999994,381.57571009420394
340.8,0,9.199999999999994,381.57571009420394
350.6,0,9.799999999999994,381.57571009420394
361,0,10.399999999999993,381.57571009420394
372,0,10.999999999999993,381.57571009420394
362.6,1,-9.4,381.57571009420394
353.8,0,-8.8,381.57571009420394
345.6,0,-8.200000000000001,381.57571009420394
338,0,-7.600000000000001,381.57571009420394
331,0,-7.000000000000002,381.57571009420394
324.6,0,-6.400000000000002,381.57571009420394
318.8,0,-5.8000000000000025,381.57571009420394
313.6,0,-5.200000000000003,381.57571009420394
309,0,-4.600000000000003,381.57571009420394
305,0,-4.0000000000000036,381.57571009420394
301.6,0,-3.4000000000000035,381.57571009420394
298.8,0,-2.8000000000000034,381.57571009420394
